station_dt_key,date,station,PRCP,SNOW,SNWD,AWND,TMAX,TMIN
USW00003928_2014-01-01,2014-01-01,USW00003928,0.03,0.9,1.2,15.2,38.0,13.0
USW00003928_2014-01-02,2014-01-02,USW00003928,0.0,0.0,0.0,6.7,31.0,4.0
USW00003928_2014-01-03,2014-01-03,USW00003928,0.0,0.0,0.0,19.7,47.0,19.0
USW00003928_2014-01-04,2014-01-04,USW00003928,0.02,0.6,1.2,15.9,45.0,18.0
USW00003928_2014-01-05,2014-01-05,USW00003928,0.05,1.4,2.0,17.4,18.0,3.0
USW00003928_2014-01-06,2014-01-06,USW00003928,0.0,0.0,2.0,9.2,15.0,-5.0
USW00003928_2014-01-07,2014-01-07,USW00003928,0.0,0.0,1.2,10.3,41.0,3.0
USW00003928_2014-01-08,2014-01-08,USW00003928,0.0,0.0,1.2,7.2,41.0,29.0
USW00003928_2014-01-09,2014-01-09,USW00003928,0.0,0.0,0.0,8.5,35.0,29.0
USW00003928_2014-01-10,2014-01-10,USW00003928,0.01,0.0,0.0,12.8,48.0,31.0
USW00003928_2014-01-11,2014-01-11,USW00003928,0.0,0.0,0.0,11.4,54.0,29.0
USW00003928_2014-01-12,2014-01-12,USW00003928,0.0,0.0,0.0,15.4,70.0,33.0
USW00003928_2014-01-13,2014-01-13,USW00003928,0.0,0.0,0.0,10.7,55.0,34.0
USW00003928_2014-01-14,2014-01-14,USW00003928,0.0,0.0,0.0,15.0,48.0,29.0
USW00003928_2014-01-15,2014-01-15,USW00003928,0.0,0.0,0.0,8.9,49.0,21.0
USW00003928_2014-01-16,2014-01-16,USW00003928,0.0,0.0,0.0,18.8,54.0,33.0
USW00003928_2014-01-17,2014-01-17,USW00003928,0.0,0.0,0.0,12.5,45.0,23.0
USW00003928_2014-01-18,2014-01-18,USW00003928,0.0,0.0,0.0,15.0,57.0,27.0
USW00003928_2014-01-19,2014-01-19,USW00003928,0.0,0.0,0.0,9.2,67.0,22.0
USW00003928_2014-01-20,2014-01-20,USW00003928,0.0,0.0,0.0,13.4,57.0,25.0
USW00003928_2014-01-21,2014-01-21,USW00003928,0.0,0.0,0.0,10.3,30.0,11.0
USW00003928_2014-01-22,2014-01-22,USW00003928,0.0,0.0,0.0,11.6,44.0,18.0
USW00003928_2014-01-23,2014-01-23,USW00003928,0.0,0.0,0.0,12.3,20.0,4.0
USW00003928_2014-01-24,2014-01-24,USW00003928,0.0,0.0,0.0,13.2,49.0,4.0
USW00003928_2014-01-25,2014-01-25,USW00003928,0.0,0.0,0.0,10.7,59.0,33.0
USW00003928_2014-01-26,2014-01-26,USW00003928,0.0,0.0,0.0,12.3,62.0,27.0
USW00003928_2014-01-27,2014-01-27,USW00003928,0.0,0.0,0.0,13.9,27.0,14.0
USW00003928_2014-01-28,2014-01-28,USW00003928,0.0,0.0,0.0,6.5,31.0,6.0
USW00003928_2014-01-29,2014-01-29,USW00003928,0.0,0.0,0.0,14.5,51.0,9.0
USW00003928_2014-01-30,2014-01-30,USW00003928,0.0,0.0,0.0,15.2,51.0,32.0
USW00003928_2014-01-31,2014-01-31,USW00003928,0.02,0.1,0.0,14.3,34.0,23.0
USW00003928_2014-02-01,2014-02-01,USW00003928,0.06,0.0,0.0,13.0,29.0,21.0
USW00003928_2014-02-02,2014-02-02,USW00003928,0.0,0.0,0.0,9.2,31.0,16.0
USW00003928_2014-02-03,2014-02-03,USW00003928,0.0,0.0,0.0,8.7,41.0,11.0
USW00003928_2014-02-04,2014-02-04,USW00003928,0.55,8.7,9.1,11.9,33.0,13.0
USW00003928_2014-02-05,2014-02-05,USW00003928,0.0,0.0,7.9,17.0,13.0,3.0
USW00003928_2014-02-06,2014-02-06,USW00003928,0.0,0.0,5.1,7.4,12.0,4.0
USW00003928_2014-02-07,2014-02-07,USW00003928,0.0,0.0,3.9,6.7,19.0,8.0
USW00003928_2014-02-08,2014-02-08,USW00003928,0.01,0.1,3.9,7.2,29.0,19.0
USW00003928_2014-02-09,2014-02-09,USW00003928,0.0,0.0,3.1,11.9,29.0,15.0
USW00003928_2014-02-10,2014-02-10,USW00003928,0.19,4.2,5.9,11.0,18.0,11.0
USW00003928_2014-02-11,2014-02-11,USW00003928,0.0,0.0,5.9,5.8,23.0,9.0
USW00003928_2014-02-12,2014-02-12,USW00003928,0.0,0.0,5.1,6.7,38.0,10.0
USW00003928_2014-02-13,2014-02-13,USW00003928,0.0,0.0,2.0,5.1,46.0,21.0
USW00003928_2014-02-14,2014-02-14,USW00003928,0.0,0.0,2.0,11.9,52.0,31.0
USW00003928_2014-02-15,2014-02-15,USW00003928,0.0,0.0,0.0,11.0,63.0,28.0
USW00003928_2014-02-16,2014-02-16,USW00003928,0.0,0.0,0.0,8.7,59.0,29.0
USW00003928_2014-02-17,2014-02-17,USW00003928,0.0,0.0,0.0,14.8,62.0,38.0
USW00003928_2014-02-18,2014-02-18,USW00003928,0.0,0.0,0.0,12.8,71.0,38.0
USW00003928_2014-02-19,2014-02-19,USW00003928,0.0,0.0,0.0,8.5,59.0,33.0
USW00003928_2014-02-20,2014-02-20,USW00003928,0.03,0.0,0.0,20.8,60.0,34.0
USW00003928_2014-02-21,2014-02-21,USW00003928,0.0,0.0,0.0,11.0,60.0,22.0
USW00003928_2014-02-22,2014-02-22,USW00003928,0.0,0.0,0.0,8.7,64.0,27.0
USW00003928_2014-02-23,2014-02-23,USW00003928,0.0,0.0,0.0,17.0,44.0,26.0
USW00003928_2014-02-24,2014-02-24,USW00003928,0.0,0.0,0.0,8.7,50.0,21.0
USW00003928_2014-02-25,2014-02-25,USW00003928,0.0,0.0,0.0,14.8,33.0,18.0
USW00003928_2014-02-26,2014-02-26,USW00003928,0.0,0.1,0.0,9.4,37.0,8.0
USW00003928_2014-02-27,2014-02-27,USW00003928,0.0,0.0,0.0,9.8,49.0,16.0
USW00003928_2014-02-28,2014-02-28,USW00003928,0.02,0.0,0.0,8.5,48.0,36.0
USW00003928_2014-03-01,2014-03-01,USW00003928,0.02,0.6,0.0,17.9,39.0,11.0
USW00003928_2014-03-02,2014-03-02,USW00003928,0.2,2.6,1.2,19.5,11.0,4.0
USW00003928_2014-03-03,2014-03-03,USW00003928,0.0,0.0,3.1,8.3,18.0,0.0
USW00003928_2014-03-04,2014-03-04,USW00003928,0.0,0.0,2.0,9.6,36.0,8.0
USW00003928_2014-03-05,2014-03-05,USW00003928,0.0,0.0,1.2,9.2,41.0,27.0
USW00003928_2014-03-06,2014-03-06,USW00003928,0.0,0.0,0.0,8.5,47.0,27.0
USW00003928_2014-03-07,2014-03-07,USW00003928,0.0,0.0,0.0,14.1,62.0,35.0
USW00003928_2014-03-08,2014-03-08,USW00003928,0.0,0.0,0.0,13.9,43.0,25.0
USW00003928_2014-03-09,2014-03-09,USW00003928,0.0,0.0,0.0,10.3,62.0,19.0
USW00003928_2014-03-10,2014-03-10,USW00003928,0.0,0.0,0.0,10.5,79.0,32.0
USW00003928_2014-03-11,2014-03-11,USW00003928,0.0,0.0,0.0,21.0,73.0,37.0
USW00003928_2014-03-12,2014-03-12,USW00003928,0.0,0.0,0.0,13.6,59.0,33.0
USW00003928_2014-03-13,2014-03-13,USW00003928,0.0,0.0,0.0,13.6,70.0,29.0
USW00003928_2014-03-14,2014-03-14,USW00003928,0.0,0.0,0.0,9.2,68.0,40.0
USW00003928_2014-03-15,2014-03-15,USW00003928,0.23,0.0,0.0,11.4,72.0,34.0
USW00003928_2014-03-16,2014-03-16,USW00003928,0.0,0.0,0.0,20.1,48.0,31.0
USW00003928_2014-03-17,2014-03-17,USW00003928,0.0,0.0,0.0,15.9,58.0,23.0
USW00003928_2014-03-18,2014-03-18,USW00003928,0.0,0.0,0.0,21.3,66.0,38.0
USW00003928_2014-03-19,2014-03-19,USW00003928,0.0,0.0,0.0,13.4,59.0,34.0
USW00003928_2014-03-20,2014-03-20,USW00003928,0.0,0.0,0.0,12.5,73.0,30.0
USW00003928_2014-03-21,2014-03-21,USW00003928,0.0,0.0,0.0,15.2,67.0,46.0
USW00003928_2014-03-22,2014-03-22,USW00003928,0.0,0.0,0.0,18.1,53.0,30.0
USW00003928_2014-03-23,2014-03-23,USW00003928,0.0,0.0,0.0,10.5,47.0,25.0
USW00003928_2014-03-24,2014-03-24,USW00003928,0.0,0.0,0.0,8.3,54.0,29.0
USW00003928_2014-03-25,2014-03-25,USW00003928,0.0,0.0,0.0,8.5,49.0,26.0
USW00003928_2014-03-26,2014-03-26,USW00003928,0.04,0.0,0.0,23.7,52.0,34.0
USW00003928_2014-03-27,2014-03-27,USW00003928,0.0,0.0,0.0,23.9,73.0,42.0
USW00003928_2014-03-28,2014-03-28,USW00003928,0.0,0.0,0.0,10.1,59.0,35.0
USW00003928_2014-03-29,2014-03-29,USW00003928,0.0,0.0,0.0,7.2,66.0,31.0
USW00003928_2014-03-30,2014-03-30,USW00003928,0.0,0.0,0.0,22.8,77.0,46.0
USW00003928_2014-03-31,2014-03-31,USW00003928,0.0,0.0,0.0,20.8,76.0,42.0
USW00003928_2014-04-01,2014-04-01,USW00003928,0.0,0.0,0.0,11.0,58.0,35.0
USW00003928_2014-04-02,2014-04-02,USW00003928,0.39,0.0,0.0,9.6,74.0,48.0
USW00003928_2014-04-03,2014-04-03,USW00003928,0.0,0.0,0.0,15.2,55.0,39.0
USW00003928_2014-04-04,2014-04-04,USW00003928,0.0,0.0,0.0,11.4,57.0,33.0
USW00003928_2014-04-05,2014-04-05,USW00003928,0.0,0.0,0.0,11.4,65.0,33.0
USW00003928_2014-04-06,2014-04-06,USW00003928,0.02,0.0,0.0,6.7,59.0,44.0
USW00003928_2014-04-07,2014-04-07,USW00003928,0.0,0.0,0.0,12.8,63.0,39.0
USW00003928_2014-04-08,2014-04-08,USW00003928,0.0,0.0,0.0,14.8,67.0,39.0
USW00003928_2014-04-09,2014-04-09,USW00003928,0.0,0.0,0.0,14.5,82.0,36.0
USW00003928_2014-04-10,2014-04-10,USW00003928,0.0,0.0,0.0,13.4,76.0,50.0
USW00003928_2014-04-11,2014-04-11,USW00003928,0.0,0.0,0.0,10.7,80.0,50.0
USW00003928_2014-04-12,2014-04-12,USW00003928,0.0,0.0,0.0,21.3,88.0,59.0
USW00003928_2014-04-13,2014-04-13,USW00003928,0.01,0.0,0.0,21.9,82.0,36.0
USW00003928_2014-04-14,2014-04-14,USW00003928,0.03,0.3,0.0,18.6,50.0,30.0
USW00003928_2014-04-15,2014-04-15,USW00003928,0.0,0.0,0.0,10.7,63.0,27.0
USW00003928_2014-04-16,2014-04-16,USW00003928,0.0,0.0,0.0,21.3,73.0,46.0
USW00003928_2014-04-17,2014-04-17,USW00003928,0.0,0.0,0.0,9.2,52.0,35.0
USW00003928_2014-04-18,2014-04-18,USW00003928,0.0,0.0,0.0,8.9,72.0,31.0
USW00003928_2014-04-19,2014-04-19,USW00003928,0.0,0.0,0.0,16.8,81.0,46.0
USW00003928_2014-04-20,2014-04-20,USW00003928,0.0,0.0,0.0,12.5,73.0,58.0
USW00003928_2014-04-21,2014-04-21,USW00003928,0.0,0.0,0.0,8.5,81.0,52.0
USW00003928_2014-04-22,2014-04-22,USW00003928,0.0,0.0,0.0,8.5,76.0,47.0
USW00003928_2014-04-23,2014-04-23,USW00003928,0.0,0.0,0.0,22.4,87.0,56.0
USW00003928_2014-04-24,2014-04-24,USW00003928,0.03,0.0,0.0,16.1,70.0,46.0
USW00003928_2014-04-25,2014-04-25,USW00003928,0.0,0.0,0.0,15.2,82.0,39.0
USW00003928_2014-04-26,2014-04-26,USW00003928,0.0,0.0,0.0,22.6,88.0,59.0
USW00003928_2014-04-27,2014-04-27,USW00003928,0.03,0.0,0.0,22.6,82.0,57.0
USW00003928_2014-04-28,2014-04-28,USW00003928,0.0,0.0,0.0,23.5,65.0,47.0
USW00003928_2014-04-29,2014-04-29,USW00003928,0.02,0.0,0.0,22.6,52.0,42.0
USW00003928_2014-04-30,2014-04-30,USW00003928,0.0,0.0,0.0,15.9,61.0,39.0
USW00003928_2014-05-01,2014-05-01,USW00003928,0.0,0.0,0.0,11.4,66.0,37.0
USW00003928_2014-05-02,2014-05-02,USW00003928,0.0,0.0,0.0,8.1,74.0,35.0
USW00003928_2014-05-03,2014-05-03,USW00003928,0.0,0.0,0.0,11.2,92.0,42.0
USW00003928_2014-05-04,2014-05-04,USW00003928,0.0,0.0,0.0,16.6,102.0,58.0
USW00003928_2014-05-05,2014-05-05,USW00003928,0.0,0.0,0.0,8.7,92.0,64.0
USW00003928_2014-05-06,2014-05-06,USW00003928,0.0,0.0,0.0,18.3,99.0,61.0
USW00003928_2014-05-07,2014-05-07,USW00003928,0.0,0.0,0.0,18.8,96.0,66.0
USW00003928_2014-05-08,2014-05-08,USW00003928,0.0,0.0,0.0,17.0,85.0,61.0
USW00003928_2014-05-09,2014-05-09,USW00003928,0.0,0.0,0.0,9.6,78.0,51.0
USW00003928_2014-05-10,2014-05-10,USW00003928,0.32,0.0,0.0,14.5,93.0,59.0
USW00003928_2014-05-11,2014-05-11,USW00003928,0.0,0.0,0.0,24.2,90.0,68.0
USW00003928_2014-05-12,2014-05-12,USW00003928,0.15,0.0,0.0,18.3,77.0,47.0
USW00003928_2014-05-13,2014-05-13,USW00003928,0.0,0.0,0.0,14.3,66.0,45.0
USW00003928_2014-05-14,2014-05-14,USW00003928,0.0,0.0,0.0,8.5,70.0,44.0
USW00003928_2014-05-15,2014-05-15,USW00003928,0.0,0.0,0.0,9.2,67.0,45.0
USW00003928_2014-05-16,2014-05-16,USW00003928,0.06,0.0,0.0,9.8,68.0,40.0
USW00003928_2014-05-17,2014-05-17,USW00003928,0.0,0.0,0.0,8.5,67.0,43.0
USW00003928_2014-05-18,2014-05-18,USW00003928,0.02,0.0,0.0,14.5,78.0,51.0
USW00003928_2014-05-19,2014-05-19,USW00003928,0.0,0.0,0.0,27.5,90.0,64.0
USW00003928_2014-05-20,2014-05-20,USW00003928,0.0,0.0,0.0,19.2,97.0,68.0
USW00003928_2014-05-21,2014-05-21,USW00003928,0.0,0.0,0.0,11.4,94.0,67.0
USW00003928_2014-05-22,2014-05-22,USW00003928,1.74,0.0,0.0,10.7,88.0,65.0
USW00003928_2014-05-23,2014-05-23,USW00003928,0.9,0.0,0.0,7.8,77.0,66.0
USW00003928_2014-05-24,2014-05-24,USW00003928,0.08,0.0,0.0,7.2,81.0,65.0
USW00003928_2014-05-25,2014-05-25,USW00003928,0.54,0.0,0.0,10.5,83.0,65.0
USW00003928_2014-05-26,2014-05-26,USW00003928,0.0,0.0,0.0,9.4,82.0,63.0
USW00003928_2014-05-27,2014-05-27,USW00003928,0.25,0.0,0.0,4.9,81.0,63.0
USW00003928_2014-05-28,2014-05-28,USW00003928,0.0,0.0,0.0,5.1,88.0,62.0
USW00003928_2014-05-29,2014-05-29,USW00003928,0.0,0.0,0.0,6.9,89.0,65.0
USW00003928_2014-05-30,2014-05-30,USW00003928,0.0,0.0,0.0,8.3,83.0,67.0
USW00003928_2014-05-31,2014-05-31,USW00003928,0.0,0.0,0.0,8.3,85.0,67.0
USW00003928_2014-06-01,2014-06-01,USW00003928,0.55,0.0,0.0,17.2,87.0,67.0
USW00003928_2014-06-02,2014-06-02,USW00003928,0.0,0.0,0.0,7.6,88.0,66.0
USW00003928_2014-06-03,2014-06-03,USW00003928,0.0,0.0,0.0,15.9,90.0,72.0
USW00003928_2014-06-04,2014-06-04,USW00003928,0.0,0.0,0.0,11.9,93.0,73.0
USW00003928_2014-06-05,2014-06-05,USW00003928,0.88,0.0,0.0,11.4,86.0,65.0
USW00003928_2014-06-06,2014-06-06,USW00003928,0.53,0.0,0.0,8.3,79.0,64.0
USW00003928_2014-06-07,2014-06-07,USW00003928,1.45,0.0,0.0,12.1,80.0,64.0
USW00003928_2014-06-08,2014-06-08,USW00003928,0.0,0.0,0.0,10.3,77.0,63.0
USW00003928_2014-06-09,2014-06-09,USW00003928,0.31,0.0,0.0,11.0,75.0,63.0
USW00003928_2014-06-10,2014-06-10,USW00003928,0.0,0.0,0.0,10.3,80.0,63.0
USW00003928_2014-06-11,2014-06-11,USW00003928,0.0,0.0,0.0,11.2,87.0,58.0
USW00003928_2014-06-12,2014-06-12,USW00003928,0.59,0.0,0.0,12.3,77.0,63.0
USW00003928_2014-06-13,2014-06-13,USW00003928,0.0,0.0,0.0,9.8,79.0,55.0
USW00003928_2014-06-14,2014-06-14,USW00003928,0.0,0.0,0.0,23.5,88.0,67.0
USW00003928_2014-06-15,2014-06-15,USW00003928,0.97,0.0,0.0,9.2,80.0,63.0
USW00003928_2014-06-16,2014-06-16,USW00003928,0.0,0.0,0.0,22.4,89.0,73.0
USW00003928_2014-06-17,2014-06-17,USW00003928,0.0,0.0,0.0,22.4,91.0,75.0
USW00003928_2014-06-18,2014-06-18,USW00003928,0.0,0.0,0.0,19.7,91.0,74.0
USW00003928_2014-06-19,2014-06-19,USW00003928,0.0,0.0,0.0,11.9,90.0,73.0
USW00003928_2014-06-20,2014-06-20,USW00003928,0.0,0.0,0.0,10.3,91.0,71.0
USW00003928_2014-06-21,2014-06-21,USW00003928,0.0,0.0,0.0,11.4,92.0,69.0
USW00003928_2014-06-22,2014-06-22,USW00003928,0.7,0.0,0.0,11.4,92.0,66.0
USW00003928_2014-06-23,2014-06-23,USW00003928,0.11,0.0,0.0,6.0,85.0,66.0
USW00003928_2014-06-24,2014-06-24,USW00003928,2.47,0.0,0.0,6.5,85.0,64.0
USW00003928_2014-06-25,2014-06-25,USW00003928,0.0,0.0,0.0,8.3,86.0,62.0
USW00003928_2014-06-26,2014-06-26,USW00003928,0.6,0.0,0.0,12.3,83.0,67.0
USW00003928_2014-06-27,2014-06-27,USW00003928,0.1,0.0,0.0,20.8,84.0,73.0
USW00003928_2014-06-28,2014-06-28,USW00003928,0.06,0.0,0.0,10.3,78.0,66.0
USW00003928_2014-06-29,2014-06-29,USW00003928,0.01,0.0,0.0,13.2,88.0,70.0
USW00003928_2014-06-30,2014-06-30,USW00003928,1.13,0.0,0.0,18.8,93.0,73.0
USW00003928_2014-07-01,2014-07-01,USW00003928,1.12,0.0,0.0,8.1,86.0,66.0
USW00003928_2014-07-02,2014-07-02,USW00003928,0.0,0.0,0.0,10.3,80.0,62.0
USW00003928_2014-07-03,2014-07-03,USW00003928,0.0,0.0,0.0,5.8,81.0,57.0
USW00003928_2014-07-04,2014-07-04,USW00003928,0.0,0.0,0.0,11.4,86.0,62.0
USW00003928_2014-07-05,2014-07-05,USW00003928,0.0,0.0,0.0,15.9,92.0,71.0
USW00003928_2014-07-06,2014-07-06,USW00003928,0.0,0.0,0.0,11.6,95.0,73.0
USW00003928_2014-07-07,2014-07-07,USW00003928,0.0,0.0,0.0,11.2,98.0,69.0
USW00003928_2014-07-08,2014-07-08,USW00003928,0.0,0.0,0.0,9.6,86.0,71.0
USW00003928_2014-07-09,2014-07-09,USW00003928,0.0,0.0,0.0,7.2,89.0,67.0
USW00003928_2014-07-10,2014-07-10,USW00003928,1.49,0.0,0.0,13.0,84.0,64.0
USW00003928_2014-07-11,2014-07-11,USW00003928,0.0,0.0,0.0,13.0,93.0,69.0
USW00003928_2014-07-12,2014-07-12,USW00003928,0.0,0.0,0.0,12.8,93.0,70.0
USW00003928_2014-07-13,2014-07-13,USW00003928,0.0,0.0,0.0,8.3,89.0,70.0
USW00003928_2014-07-14,2014-07-14,USW00003928,0.04,0.0,0.0,8.1,92.0,68.0
USW00003928_2014-07-15,2014-07-15,USW00003928,0.0,0.0,0.0,5.6,80.0,55.0
USW00003928_2014-07-16,2014-07-16,USW00003928,0.04,0.0,0.0,7.2,68.0,60.0
USW00003928_2014-07-17,2014-07-17,USW00003928,0.17,0.0,0.0,5.8,67.0,62.0
USW00003928_2014-07-18,2014-07-18,USW00003928,0.0,0.0,0.0,8.5,76.0,61.0
USW00003928_2014-07-19,2014-07-19,USW00003928,0.0,0.0,0.0,10.3,82.0,57.0
USW00003928_2014-07-20,2014-07-20,USW00003928,0.0,0.0,0.0,16.1,90.0,65.0
USW00003928_2014-07-21,2014-07-21,USW00003928,0.0,0.0,0.0,14.3,96.0,72.0
USW00003928_2014-07-22,2014-07-22,USW00003928,0.0,0.0,0.0,8.5,98.0,75.0
USW00003928_2014-07-23,2014-07-23,USW00003928,0.0,0.0,0.0,8.1,91.0,74.0
USW00003928_2014-07-24,2014-07-24,USW00003928,0.0,0.0,0.0,11.6,90.0,69.0
USW00003928_2014-07-25,2014-07-25,USW00003928,0.0,0.0,0.0,16.8,102.0,73.0
USW00003928_2014-07-26,2014-07-26,USW00003928,0.0,0.0,0.0,12.3,104.0,75.0
USW00003928_2014-07-27,2014-07-27,USW00003928,0.05,0.0,0.0,9.4,91.0,72.0
USW00003928_2014-07-28,2014-07-28,USW00003928,0.0,0.0,0.0,7.4,87.0,67.0
USW00003928_2014-07-29,2014-07-29,USW00003928,0.0,0.0,0.0,8.7,89.0,65.0
USW00003928_2014-07-30,2014-07-30,USW00003928,0.16,0.0,0.0,7.4,72.0,65.0
USW00003928_2014-07-31,2014-07-31,USW00003928,0.0,0.0,0.0,5.8,85.0,59.0
USW00003928_2014-08-01,2014-08-01,USW00003928,0.0,0.0,0.0,7.4,93.0,61.0
USW00003928_2014-08-02,2014-08-02,USW00003928,0.0,0.0,0.0,7.2,90.0,65.0
USW00003928_2014-08-03,2014-08-03,USW00003928,0.0,0.0,0.0,8.1,92.0,65.0
USW00003928_2014-08-04,2014-08-04,USW00003928,0.0,0.0,0.0,9.2,94.0,66.0
USW00003928_2014-08-05,2014-08-05,USW00003928,0.0,0.0,0.0,11.2,95.0,67.0
USW00003928_2014-08-06,2014-08-06,USW00003928,0.09,0.0,0.0,13.9,97.0,68.0
USW00003928_2014-08-07,2014-08-07,USW00003928,0.8,0.0,0.0,7.6,90.0,69.0
USW00003928_2014-08-08,2014-08-08,USW00003928,0.34,0.0,0.0,6.3,90.0,70.0
USW00003928_2014-08-09,2014-08-09,USW00003928,0.0,0.0,0.0,8.1,91.0,71.0
USW00003928_2014-08-10,2014-08-10,USW00003928,0.53,0.0,0.0,7.8,86.0,68.0
USW00003928_2014-08-11,2014-08-11,USW00003928,0.0,0.0,0.0,10.7,86.0,67.0
USW00003928_2014-08-12,2014-08-12,USW00003928,0.0,0.0,0.0,5.8,85.0,59.0
USW00003928_2014-08-13,2014-08-13,USW00003928,0.0,0.0,0.0,8.1,86.0,63.0
USW00003928_2014-08-14,2014-08-14,USW00003928,0.0,0.0,0.0,12.8,91.0,66.0
USW00003928_2014-08-15,2014-08-15,USW00003928,0.04,0.0,0.0,12.1,94.0,71.0
USW00003928_2014-08-16,2014-08-16,USW00003928,0.0,0.0,0.0,7.6,96.0,70.0
USW00003928_2014-08-17,2014-08-17,USW00003928,0.0,0.0,0.0,6.7,95.0,70.0
USW00003928_2014-08-18,2014-08-18,USW00003928,0.31,0.0,0.0,7.8,93.0,67.0
USW00003928_2014-08-19,2014-08-19,USW00003928,0.0,0.0,0.0,10.7,96.0,74.0
USW00003928_2014-08-20,2014-08-20,USW00003928,0.0,0.0,0.0,16.1,96.0,72.0
USW00003928_2014-08-21,2014-08-21,USW00003928,0.0,0.0,0.0,18.1,99.0,75.0
USW00003928_2014-08-22,2014-08-22,USW00003928,0.0,0.0,0.0,14.1,102.0,76.0
USW00003928_2014-08-23,2014-08-23,USW00003928,0.0,0.0,0.0,14.8,102.0,71.0
USW00003928_2014-08-24,2014-08-24,USW00003928,0.0,0.0,0.0,15.2,103.0,75.0
USW00003928_2014-08-25,2014-08-25,USW00003928,0.0,0.0,0.0,10.5,101.0,72.0
USW00003928_2014-08-26,2014-08-26,USW00003928,0.01,0.0,0.0,8.3,97.0,72.0
USW00003928_2014-08-27,2014-08-27,USW00003928,0.0,0.0,0.0,7.2,92.0,70.0
USW00003928_2014-08-28,2014-08-28,USW00003928,0.12,0.0,0.0,9.6,81.0,68.0
USW00003928_2014-08-29,2014-08-29,USW00003928,0.14,0.0,0.0,7.4,87.0,68.0
USW00003928_2014-08-30,2014-08-30,USW00003928,0.0,0.0,0.0,4.9,94.0,64.0
USW00003928_2014-08-31,2014-08-31,USW00003928,0.0,0.0,0.0,18.6,99.0,71.0
USW00003928_2014-09-01,2014-09-01,USW00003928,0.05,0.0,0.0,14.3,89.0,66.0
USW00003928_2014-09-02,2014-09-02,USW00003928,0.0,0.0,0.0,10.1,88.0,72.0
USW00003928_2014-09-03,2014-09-03,USW00003928,0.0,0.0,0.0,17.0,98.0,72.0
USW00003928_2014-09-04,2014-09-04,USW00003928,0.0,0.0,0.0,19.2,99.0,75.0
USW00003928_2014-09-05,2014-09-05,USW00003928,0.04,0.0,0.0,13.2,82.0,60.0
USW00003928_2014-09-06,2014-09-06,USW00003928,0.05,0.0,0.0,10.1,79.0,60.0
USW00003928_2014-09-07,2014-09-07,USW00003928,0.0,0.0,0.0,5.4,82.0,53.0
USW00003928_2014-09-08,2014-09-08,USW00003928,0.0,0.0,0.0,14.5,92.0,60.0
USW00003928_2014-09-09,2014-09-09,USW00003928,0.0,0.0,0.0,21.3,99.0,73.0
USW00003928_2014-09-10,2014-09-10,USW00003928,0.02,0.0,0.0,13.4,84.0,62.0
USW00003928_2014-09-11,2014-09-11,USW00003928,0.0,0.0,0.0,14.8,75.0,58.0
USW00003928_2014-09-12,2014-09-12,USW00003928,0.0,0.0,0.0,15.2,59.0,51.0
USW00003928_2014-09-13,2014-09-13,USW00003928,0.0,0.0,0.0,8.3,68.0,42.0
USW00003928_2014-09-14,2014-09-14,USW00003928,0.0,0.0,0.0,13.4,84.0,51.0
USW00003928_2014-09-15,2014-09-15,USW00003928,0.0,0.0,0.0,13.9,86.0,64.0
USW00003928_2014-09-16,2014-09-16,USW00003928,0.0,0.0,0.0,8.9,81.0,60.0
USW00003928_2014-09-17,2014-09-17,USW00003928,0.0,0.0,0.0,7.4,98.0,65.0
USW00003928_2014-09-18,2014-09-18,USW00003928,0.0,0.0,0.0,13.6,90.0,67.0
USW00003928_2014-09-19,2014-09-19,USW00003928,0.0,0.0,0.0,11.0,93.0,65.0
USW00003928_2014-09-20,2014-09-20,USW00003928,0.01,0.0,0.0,8.5,94.0,66.0
USW00003928_2014-09-21,2014-09-21,USW00003928,0.0,0.0,0.0,11.0,85.0,61.0
USW00003928_2014-09-22,2014-09-22,USW00003928,0.0,0.0,0.0,6.9,80.0,51.0
USW00003928_2014-09-23,2014-09-23,USW00003928,0.14,0.0,0.0,14.8,83.0,58.0
USW00003928_2014-09-24,2014-09-24,USW00003928,0.16,0.0,0.0,11.9,81.0,58.0
USW00003928_2014-09-25,2014-09-25,USW00003928,0.0,0.0,0.0,8.9,86.0,59.0
USW00003928_2014-09-26,2014-09-26,USW00003928,0.0,0.0,0.0,8.7,85.0,56.0
USW00003928_2014-09-27,2014-09-27,USW00003928,0.0,0.0,0.0,10.5,86.0,60.0
USW00003928_2014-09-28,2014-09-28,USW00003928,0.0,0.0,0.0,7.6,86.0,60.0
USW00003928_2014-09-29,2014-09-29,USW00003928,0.0,0.0,0.0,7.6,88.0,61.0
USW00003928_2014-09-30,2014-09-30,USW00003928,0.0,0.0,0.0,15.7,88.0,62.0
USW00003928_2014-10-01,2014-10-01,USW00003928,0.0,0.0,0.0,10.5,91.0,67.0
USW00003928_2014-10-02,2014-10-02,USW00003928,0.15,0.0,0.0,13.4,73.0,50.0
USW00003928_2014-10-03,2014-10-03,USW00003928,0.0,0.0,0.0,14.1,63.0,41.0
USW00003928_2014-10-04,2014-10-04,USW00003928,0.0,0.0,0.0,4.9,73.0,37.0
USW00003928_2014-10-05,2014-10-05,USW00003928,0.0,0.0,0.0,8.5,85.0,48.0
USW00003928_2014-10-06,2014-10-06,USW00003928,0.0,0.0,0.0,9.4,84.0,54.0
